,Text,Ground-Truth,Rank,All-Ranks,Prediction,Candidates,LR-distances,LD-distances,LRD-distances,ARD-distances,LARD-distances
64,A steel can with a light brown label.,food_can_3_3,2,[2 4 3 0 1],lemon_2_4,"['food_can_3_3' 'scissors_5_1' 'eye_glasses_3_4' 'lemon_2_4'
 'eye_glasses_4_1']",[0.36 0.51 0.61 0.38 0.36],[0.44 0.48 0.36 0.31 0.34],[0.4  0.5  0.49 0.35 0.35],[0.4  0.45 0.4  0.38 0.4 ],[0.4  0.47 0.44 0.36 0.37]
65,An orange and white prescription bottle.,prescription_medicine_bottle_2_4,0,[0 2 3 1 4],prescription_medicine_bottle_2_4,"['prescription_medicine_bottle_2_4' 'banana_5_4' 'scissors_3_3'
 'onion_3_4' 'toothpaste_3_4']",[0.1  0.58 0.53 0.45 0.62],[0.09 0.52 0.63 0.54 0.65],[0.09 0.55 0.58 0.5  0.63],[0.38 0.29 0.39 0.32 0.45],[0.24 0.42 0.49 0.41 0.54]
66,This is canned food with a tan label.,food_can_3_3,0,[0 2 3 1 4],food_can_3_3,['food_can_3_3' 'onion_5_1' 'onion_5_1' 'measuring_tape_5_1' 'shampoo_4_2'],[0.19 0.44 0.44 0.4  0.45],[0.19 0.42 0.42 0.37 0.46],[0.19 0.43 0.43 0.39 0.46],[0.44 0.53 0.53 0.25 0.66],[0.32 0.48 0.48 0.32 0.56]
67,This pill bottle is orange. It contains pills and has a white cap and label on the side.,prescription_medicine_bottle_2_4,0,[0 4 2 1 3],prescription_medicine_bottle_2_4,"['prescription_medicine_bottle_2_4' 'mouse_2_3' 'marker_1_2' 'potato_2_1'
 'hammer_2_4']",[0.13 0.63 0.53 0.57 0.69],[0.1  0.66 0.5  0.45 0.57],[0.12 0.65 0.52 0.51 0.63],[0.41 0.61 0.39 0.45 0.49],[0.26 0.63 0.45 0.48 0.56]
68,A can with a brown label on it.,food_can_3_3,0,[0 3 1 2 4],food_can_3_3,"['food_can_3_3' 'measuring_tape_1_1' 'medicine_bottle_4_2' 'stapler_3_2'
 'spoon_5_4']",[0.23 0.38 0.27 0.38 0.52],[0.27 0.4  0.24 0.38 0.42],[0.25 0.39 0.25 0.38 0.47],[0.25 0.49 0.34 0.41 0.58],[0.25 0.44 0.3  0.4  0.52]
69,A pill bottle with the details marked out.,prescription_medicine_bottle_2_4,0,[0 1 3 2 4],prescription_medicine_bottle_2_4,"['prescription_medicine_bottle_2_4' 'water_bottle_4_1' 'eye_glasses_2_3'
 'food_can_2_1' 'can_opener_3_4']",[0.12 0.45 0.52 0.47 0.64],[0.13 0.39 0.46 0.46 0.58],[0.12 0.42 0.49 0.46 0.61],[0.64 0.44 0.43 0.35 0.39],[0.38 0.43 0.46 0.41 0.5 ]
70,This is a jar of canned goods.,food_can_3_3,1,[1 3 4 0 2],food_jar_5_2,"['food_can_3_3' 'picture_frame_5_1' 'book_1_4' 'food_jar_5_2'
 'picture_frame_3_1']",[0.14 0.54 0.72 0.14 0.47],[0.2  0.56 0.57 0.1  0.33],[0.17 0.55 0.64 0.12 0.4 ],[0.37 0.37 0.48 0.27 0.3 ],[0.27 0.46 0.56 0.2  0.35]
71,This is a prescription pill bottle.,prescription_medicine_bottle_2_4,0,[0 2 4 3 1],prescription_medicine_bottle_2_4,"['prescription_medicine_bottle_2_4' 'fork_4_2' 'toothbrush_2_1'
 'coffee_mug_2_1' 'band_aid_1_4']",[0.07 0.62 0.72 0.68 0.24],[0.08 0.43 0.57 0.61 0.45],[0.07 0.52 0.65 0.65 0.35],[0.27 0.45 0.61 0.5  0.27],[0.17 0.48 0.63 0.58 0.31]
72,A can of food.,food_can_3_3,0,[0 3 2 4 1],food_can_3_3,"['food_can_3_3' 'scissors_6_1' 'measuring_tape_4_1' 'stapler_1_1'
 'food_jar_5_2']",[0.15 0.52 0.56 0.6  0.22],[0.2  0.57 0.51 0.62 0.18],[0.18 0.55 0.54 0.61 0.2 ],[0.32 0.39 0.32 0.34 0.43],[0.25 0.47 0.43 0.47 0.32]
73,A small orange plastic prescription bottle with a white cap.,prescription_medicine_bottle_2_4,0,[0 4 3 1 2],prescription_medicine_bottle_2_4,"['prescription_medicine_bottle_2_4' 'notebook_1_1' 'band_aid_4_2'
 'cell_phone_2_2' 'stapler_2_3']",[0.11 0.76 0.69 0.46 0.55],[0.11 0.71 0.53 0.49 0.6 ],[0.11 0.73 0.61 0.48 0.58],[0.67 0.41 0.39 0.3  0.43],[0.39 0.57 0.5  0.39 0.5 ]
74,this is a tin can holding a veggie.,food_can_3_3,0,[0 1 3 4 2],food_can_3_3,"['food_can_3_3' 'coffee_mug_4_3' 'plate_5_4' 'book_5_4'
 'medicine_bottle_1_4']",[0.16 0.23 0.58 0.67 0.35],[0.22 0.18 0.51 0.69 0.32],[0.19 0.2  0.54 0.68 0.34],[0.43 0.4  0.54 0.72 0.53],[0.31 0.3  0.54 0.7  0.43]
75,this is a prescription bottle.,prescription_medicine_bottle_2_4,0,[0 1 4 3 2],prescription_medicine_bottle_2_4,"['prescription_medicine_bottle_2_4' 'water_bottle_3_3' 'tissue_box_1_4'
 'lightbulb_2_2' 'toothbrush_1_1']",[0.08 0.45 0.73 0.56 0.51],[0.08 0.39 0.73 0.66 0.61],[0.08 0.42 0.73 0.61 0.56],[0.31 0.42 0.62 0.46 0.36],[0.19 0.42 0.68 0.54 0.46]
76,a tin can of soup,food_can_3_3,0,[0 1 2 3 4],food_can_3_3,['food_can_3_3' 'screwdriver_5_4' 'plate_3_4' 'screwdriver_2_1' 'book_3_1'],[0.16 0.56 0.63 0.7  0.63],[0.2  0.45 0.53 0.54 0.69],[0.18 0.51 0.58 0.62 0.66],[0.42 0.4  0.36 0.44 0.35],[0.3  0.45 0.47 0.53 0.5 ]
77,a pill container,prescription_medicine_bottle_2_4,0,[0 3 1 4 2],prescription_medicine_bottle_2_4,"['prescription_medicine_bottle_2_4' 'banana_2_3' 'medicine_bottle_3_4'
 'book_3_1' 'syringe_4_1']",[0.13 0.54 0.18 0.71 0.26],[0.15 0.59 0.16 0.78 0.29],[0.14 0.56 0.17 0.74 0.28],[0.38 0.58 0.35 0.63 0.35],[0.26 0.57 0.26 0.69 0.31]
78,This is a canned food item. This is a standard can of food with a pale beige and white label.,food_can_3_3,0,[0 4 2 1 3],food_can_3_3,"['food_can_3_3' 'stapler_1_1' 'prescription_medicine_bottle_2_4'
 'medicine_bottle_5_2' 'allen_wrench_4_3']",[0.14 0.55 0.4  0.3  0.49],[0.15 0.58 0.4  0.39 0.55],[0.15 0.56 0.4  0.35 0.52],[0.33 0.45 0.42 0.5  0.29],[0.24 0.51 0.41 0.43 0.4 ]
79,This is a standard size pill bottle for holding medications. This is an orange medication bottle with a white lid and a pharmacy identity stick on it.,prescription_medicine_bottle_2_4,0,[0 3 2 1 4],prescription_medicine_bottle_2_4,"['prescription_medicine_bottle_2_4' 'soda_bottle_5_2' 'marker_6_3'
 'food_can_5_2' 'bell_pepper_4_3']",[0.14 0.47 0.45 0.44 0.49],[0.12 0.55 0.39 0.4  0.56],[0.13 0.51 0.42 0.42 0.52],[0.34 0.48 0.41 0.58 0.44],[0.23 0.5  0.42 0.5  0.48]
80,It is a silver spoon.,spoon_4_2,1,[1 4 2 0 3],fork_3_4,['spoon_4_2' 'lime_3_1' 'screwdriver_5_4' 'fork_3_4' 'book_2_4'],[0.33 0.58 0.65 0.32 0.6 ],[0.21 0.65 0.5  0.18 0.56],[0.27 0.61 0.58 0.25 0.58],[0.46 0.49 0.4  0.43 0.69],[0.36 0.55 0.49 0.34 0.63]
81,The object is a metal spoon.,spoon_4_2,0,[0 2 3 1 4],spoon_4_2,['spoon_4_2' 'potato_4_1' 'eye_glasses_2_1' 'pencil_3_4' 'gauze_2_2'],[0.37 0.45 0.47 0.4  0.93],[0.23 0.55 0.76 0.4  0.61],[0.3  0.5  0.62 0.4  0.77],[0.25 0.52 0.54 0.3  0.64],[0.27 0.51 0.58 0.35 0.71]
82,A typical silver spoon.,spoon_4_2,0,[0 3 1 2 4],spoon_4_2,['spoon_4_2' 'coffee_mug_2_1' 'potato_3_4' 'apple_5_4' 'food_can_4_3'],[0.33 0.64 0.47 0.47 0.67],[0.21 0.55 0.45 0.52 0.74],[0.27 0.59 0.46 0.49 0.71],[0.26 0.57 0.38 0.44 0.71],[0.27 0.58 0.42 0.47 0.71]
83,A silver table spoon,spoon_4_2,0,[0 4 3 2 1],spoon_4_2,"['spoon_4_2' 'gauze_2_2' 'hand_towel_1_4' 'coffee_mug_5_2'
 'screwdriver_1_3']",[0.31 0.82 0.42 0.5  0.45],[0.19 0.55 0.64 0.52 0.44],[0.25 0.68 0.53 0.51 0.45],[0.32 0.42 0.37 0.59 0.37],[0.29 0.55 0.45 0.55 0.41]
84,USE FOR EATING FOOD.,spoon_4_2,0,[0 1 3 2 4],spoon_4_2,['spoon_4_2' 'plate_5_4' 'stapler_5_4' 'pliers_4_1' 'hand_towel_3_4'],[0.22 0.36 0.47 0.37 0.37],[0.24 0.35 0.38 0.36 0.48],[0.23 0.36 0.42 0.36 0.43],[0.39 0.49 0.42 0.43 0.45],[0.31 0.42 0.42 0.4  0.44]
85,This is a silver table spoon.,spoon_4_2,0,[0 1 4 2 3],spoon_4_2,"['spoon_4_2' 'eye_glasses_4_2' 'toothpaste_4_2' 'measuring_tape_4_1'
 'stapler_4_4']",[0.3  0.39 0.57 0.56 0.5 ],[0.2  0.51 0.57 0.54 0.64],[0.25 0.45 0.57 0.55 0.57],[0.28 0.4  0.36 0.46 0.39],[0.27 0.42 0.46 0.5  0.48]
86,Metal handtool used for the purpose of shoving food into a humans mouth hole.,spoon_4_2,0,[0 2 3 4 1],spoon_4_2,['spoon_4_2' 'stapler_2_1' 'gauze_2_2' 'measuring_tape_1_1' 'stapler_5_4'],[0.27 0.52 0.59 0.51 0.54],[0.36 0.41 0.44 0.53 0.37],[0.31 0.47 0.52 0.52 0.45],[0.31 0.5  0.81 0.55 0.45],[0.31 0.48 0.66 0.53 0.45]
87,a silver tea spoon,spoon_4_2,0,[0 4 2 3 1],spoon_4_2,['spoon_4_2' 'coffee_mug_5_1' 'onion_3_4' 'fork_5_1' 'syringe_5_3'],[0.31 0.52 0.47 0.52 0.41],[0.21 0.44 0.42 0.41 0.39],[0.26 0.48 0.44 0.46 0.4 ],[0.39 0.46 0.41 0.53 0.4 ],[0.32 0.47 0.43 0.5  0.4 ]
88,It is a metal spoon.,spoon_4_2,0,[0 2 4 1 3],spoon_4_2,['spoon_4_2' 'potato_3_4' 'shampoo_1_2' 'syringe_4_1' 'cap_2_2'],[0.36 0.51 0.66 0.45 0.5 ],[0.22 0.48 0.82 0.43 0.56],[0.29 0.49 0.74 0.44 0.53],[0.36 0.48 0.68 0.39 0.61],[0.32 0.48 0.71 0.41 0.57]
89,A silver metal spoon,spoon_4_2,0,[0 4 2 3 1],spoon_4_2,"['spoon_4_2' 'screwdriver_5_4' 'can_opener_5_4' 'hand_towel_2_3'
 'scissors_1_3']",[0.34 0.58 0.53 0.4  0.54],[0.19 0.47 0.36 0.6  0.34],[0.27 0.52 0.44 0.5  0.44],[0.39 0.54 0.53 0.41 0.48],[0.33 0.53 0.49 0.46 0.46]
90,It is a somewhat used bottle of cough medicine.,medicine_bottle_1_2,0,[0 4 2 1 3],medicine_bottle_1_2,"['medicine_bottle_1_2' 'measuring_tape_4_1' 'can_opener_2_1' 'banana_5_4'
 'lime_5_3']",[0.17 0.54 0.58 0.54 0.55],[0.2  0.57 0.51 0.47 0.55],[0.19 0.56 0.55 0.51 0.55],[0.41 0.4  0.44 0.5  0.35],[0.3  0.48 0.49 0.5  0.45]
91,It is a blue and yellow book.,book_1_4,0,[0 1 3 2 4],book_1_4,['book_1_4' 'water_bottle_5_4' 'apple_1_2' 'fork_1_2' 'lemon_5_3'],[0.2  0.53 0.59 0.54 0.68],[0.34 0.48 0.52 0.51 0.68],[0.27 0.51 0.56 0.53 0.68],[0.35 0.34 0.36 0.47 0.49],[0.31 0.42 0.46 0.5  0.58]
92,This is a bottle of medicine for a cough.,medicine_bottle_1_2,0,[0 3 2 1 4],medicine_bottle_1_2,"['medicine_bottle_1_2' 'marker_1_2' 'allen_wrench_2_2'
 'measuring_tape_5_1' 'screwdriver_1_3']",[0.17 0.6  0.41 0.37 0.63],[0.23 0.4  0.44 0.47 0.47],[0.2  0.5  0.42 0.42 0.55],[0.24 0.42 0.5  0.39 0.47],[0.22 0.46 0.46 0.41 0.51]
93,This is book with a blue and yellow cover.,book_1_4,1,[1 2 4 3 0],hand_towel_3_4,['book_1_4' 'hammer_3_3' 'scissors_3_3' 'spoon_5_4' 'hand_towel_3_4'],[0.24 0.53 0.7  0.67 0.27],[0.39 0.51 0.72 0.61 0.31],[0.32 0.52 0.71 0.64 0.29],[0.37 0.51 0.63 0.46 0.33],[0.34 0.52 0.67 0.55 0.31]
94,It is a half-empty bottle of medicine.,medicine_bottle_1_2,0,[0 4 3 1 2],medicine_bottle_1_2,"['medicine_bottle_1_2' 'food_can_1_4' 'onion_2_1' 'marker_2_1'
 'allen_wrench_2_2']",[0.17 0.56 0.5  0.46 0.47],[0.23 0.48 0.49 0.43 0.5 ],[0.2  0.52 0.49 0.45 0.49],[0.34 0.37 0.39 0.39 0.42],[0.27 0.44 0.44 0.42 0.45]
95,It is a single paperback book.,book_1_4,0,[0 4 3 1 2],book_1_4,"['book_1_4' 'lemon_4_4' 'allen_wrench_3_3' 'picture_frame_4_2'
 'toothpaste_5_2']",[0.2  0.61 0.65 0.32 0.6 ],[0.39 0.61 0.51 0.45 0.43],[0.3  0.61 0.58 0.38 0.52],[0.46 0.47 0.56 0.36 0.49],[0.38 0.54 0.57 0.37 0.5 ]
96,a bottle of cough medicine,medicine_bottle_1_2,0,[0 2 3 4 1],medicine_bottle_1_2,"['medicine_bottle_1_2' 'water_bottle_3_3' 'screwdriver_5_4' 'lime_5_3'
 'food_jar_1_3']",[0.16 0.3  0.53 0.57 0.23],[0.19 0.29 0.58 0.56 0.33],[0.17 0.3  0.56 0.56 0.28],[0.2  0.3  0.56 0.56 0.27],[0.19 0.3  0.56 0.56 0.27]
97,a paperback book,book_1_4,0,[0 4 3 1 2],book_1_4,['book_1_4' 'potato_4_1' 'lightbulb_4_3' 'measuring_tape_2_1' 'pliers_1_3'],[0.2  0.67 0.65 0.49 0.66],[0.37 0.67 0.66 0.69 0.53],[0.29 0.67 0.66 0.59 0.6 ],[0.3  0.76 0.75 0.59 0.44],[0.29 0.72 0.7  0.59 0.52]
98,The object is a half empty bottle of cough syrup,medicine_bottle_1_2,0,[0 2 4 1 3],medicine_bottle_1_2,"['medicine_bottle_1_2' 'lightbulb_4_3' 'toothpaste_4_2'
 'picture_frame_2_1' 'banana_4_1']",[0.19 0.44 0.56 0.41 0.54],[0.23 0.5  0.59 0.36 0.57],[0.21 0.47 0.58 0.38 0.55],[0.24 0.48 0.48 0.4  0.47],[0.23 0.47 0.53 0.39 0.51]
99,The object is a paperback book.,book_1_4,0,[0 2 1 3 4],book_1_4,"['book_1_4' 'picture_frame_3_1' 'picture_frame_1_2' 'eye_glasses_1_2'
 'can_opener_1_4']",[0.22 0.35 0.37 0.66 0.57],[0.34 0.34 0.3  0.47 0.64],[0.28 0.35 0.33 0.57 0.6 ],[0.34 0.35 0.41 0.61 0.42],[0.31 0.35 0.37 0.59 0.51]
100,Half a bottle of day time flu medicine with an orange label and white lid.,medicine_bottle_1_2,0,[0 4 1 2 3],medicine_bottle_1_2,"['medicine_bottle_1_2' 'hand_towel_1_4' 'measuring_tape_5_2' 'banana_3_4'
 'cell_phone_1_2']",[0.15 0.75 0.34 0.59 0.58],[0.15 0.7  0.43 0.57 0.62],[0.15 0.72 0.38 0.58 0.6 ],[0.38 0.51 0.55 0.49 0.44],[0.26 0.62 0.47 0.54 0.52]
101,A paper back book with a blue and yellow cover.,book_1_4,0,[0 2 4 1 3],book_1_4,"['book_1_4' 'lightbulb_3_3' 'prescription_medicine_bottle_3_4'
 'toothbrush_4_1' 'pliers_2_3']",[0.21 0.53 0.69 0.41 0.64],[0.42 0.57 0.73 0.42 0.63],[0.31 0.55 0.71 0.42 0.63],[0.42 0.43 0.53 0.39 0.42],[0.37 0.49 0.62 0.4  0.52]
102,Plastic bottle holding medical liquid that aids humans health.,medicine_bottle_1_2,0,[0 1 3 4 2],medicine_bottle_1_2,"['medicine_bottle_1_2' 'gauze_2_2' 'notebook_1_1' 'notebook_1_1'
 'plate_1_2']",[0.21 0.42 0.56 0.56 0.45],[0.23 0.47 0.53 0.53 0.45],[0.22 0.45 0.55 0.55 0.45],[0.41 0.37 0.37 0.37 0.61],[0.31 0.41 0.46 0.46 0.53]
103,Paper induced object that displays written words for humans to read.,book_1_4,1,[1 2 4 0 3],band_aid_3_2,['book_1_4' 'water_bottle_2_3' 'shampoo_3_1' 'band_aid_3_2' 'spoon_1_3'],[0.47 0.51 0.61 0.4  0.52],[0.4  0.51 0.62 0.44 0.66],[0.43 0.51 0.62 0.42 0.59],[0.39 0.43 0.4  0.43 0.4 ],[0.41 0.47 0.51 0.43 0.5 ]
104,this is a half empty bottle of cough syrup.,medicine_bottle_1_2,0,[0 4 1 3 2],medicine_bottle_1_2,"['medicine_bottle_1_2' 'flashlight_3_4' 'prescription_medicine_bottle_3_3'
 'toothbrush_5_3' 'food_can_3_2']",[0.19 0.54 0.37 0.43 0.41],[0.21 0.45 0.25 0.47 0.43],[0.2  0.49 0.31 0.45 0.42],[0.26 0.51 0.39 0.45 0.49],[0.23 0.5  0.35 0.45 0.45]
105,this is a book about craft research.,book_1_4,0,[0 2 1 3 4],book_1_4,['book_1_4' 'plate_4_2' 'toothpaste_3_4' 'mouse_2_3' 'marker_4_3'],[0.2  0.54 0.35 0.55 0.52],[0.36 0.48 0.49 0.55 0.63],[0.28 0.51 0.42 0.55 0.58],[0.43 0.52 0.47 0.49 0.52],[0.35 0.51 0.45 0.52 0.55]
106,Here is a bottle of liquid cold medicine. The liquid is orange.,medicine_bottle_1_2,0,[0 1 2 4 3],medicine_bottle_1_2,"['medicine_bottle_1_2' 'stapler_5_4' 'pliers_3_4' 'eye_glasses_1_2'
 'scissors_1_3']",[0.14 0.43 0.56 0.68 0.59],[0.17 0.56 0.58 0.66 0.6 ],[0.16 0.49 0.57 0.67 0.59],[0.43 0.37 0.44 0.52 0.42],[0.29 0.43 0.5  0.6  0.51]
107,This is a book with a yellow and blue front cover.,book_1_4,1,[1 4 2 0 3],tissue_box_1_3,['book_1_4' 'pliers_5_3' 'mouse_3_3' 'tissue_box_1_3' 'stapler_3_2'],[0.2  0.78 0.48 0.2  0.64],[0.46 0.63 0.56 0.36 0.57],[0.33 0.7  0.52 0.28 0.61],[0.36 0.46 0.41 0.31 0.42],[0.35 0.58 0.47 0.29 0.52]
108,An opened bottle of DayQuil.,medicine_bottle_1_2,0,[0 3 1 4 2],medicine_bottle_1_2,"['medicine_bottle_1_2' 'scissors_2_3' 'water_bottle_2_4' 'plate_3_1'
 'soda_bottle_1_1']",[0.18 0.41 0.34 0.64 0.35],[0.17 0.57 0.3  0.62 0.35],[0.17 0.49 0.32 0.63 0.35],[0.25 0.55 0.25 0.52 0.41],[0.21 0.52 0.28 0.58 0.38]
109,"A paperback, yellow and blue text book.",book_1_4,0,[0 2 1 4 3],book_1_4,"['book_1_4' 'screwdriver_1_3' 'toothbrush_5_3' 'measuring_tape_4_1'
 'eye_glasses_2_1']",[0.21 0.58 0.33 0.6  0.68],[0.41 0.44 0.35 0.87 0.69],[0.31 0.51 0.34 0.73 0.69],[0.37 0.53 0.34 0.68 0.58],[0.34 0.52 0.34 0.71 0.63]
110,a white paper plate with blue flowers,plate_1_2,0,[0 2 3 4 1],plate_1_2,['plate_1_2' 'fork_4_2' 'eye_glasses_2_1' 'lemon_2_4' 'apple_1_2'],[0.13 0.53 0.49 0.52 0.41],[0.11 0.41 0.52 0.54 0.44],[0.12 0.47 0.51 0.53 0.42],[0.22 0.5  0.45 0.68 0.57],[0.17 0.48 0.48 0.6  0.5 ]
111,a silver and red mesuring tape,measuring_tape_2_4,0,[0 3 2 4 1],measuring_tape_2_4,"['measuring_tape_2_4' 'food_jar_3_2' 'medicine_bottle_3_4' 'hammer_6_2'
 'screwdriver_5_1']",[0.33 0.45 0.4  0.65 0.31],[0.32 0.4  0.37 0.54 0.4 ],[0.33 0.43 0.39 0.6  0.36],[0.32 0.4  0.39 0.44 0.25],[0.32 0.41 0.39 0.52 0.3 ]
112,a black smartphone,cell_phone_3_2,0,[0 2 1 4 3],cell_phone_3_2,"['cell_phone_3_2' 'toothpaste_5_2' 'soda_bottle_3_2' 'bowl_5_4'
 'potato_4_1']",[0.26 0.49 0.38 0.56 0.53],[0.2  0.52 0.4  0.67 0.52],[0.23 0.51 0.39 0.61 0.53],[0.35 0.37 0.52 0.42 0.63],[0.29 0.44 0.45 0.52 0.58]
113,a standing empty black picture frame,picture_frame_5_1,0,[0 2 3 4 1],picture_frame_5_1,"['picture_frame_5_1' 'water_bottle_5_1' 'toothpaste_4_2' 'potato_2_1'
 'water_bottle_4_4']",[0.18 0.49 0.41 0.56 0.43],[0.24 0.35 0.54 0.57 0.35],[0.21 0.42 0.48 0.56 0.39],[0.49 0.61 0.37 0.68 0.58],[0.35 0.52 0.42 0.62 0.49]
114,This is a paper plate. It is white with a blue design.,plate_1_2,0,[0 1 3 4 2],plate_1_2,"['plate_1_2' 'marker_4_4' 'toothbrush_2_1' 'bell_pepper_2_1'
 'band_aid_3_2']",[0.13 0.37 0.55 0.6  0.36],[0.12 0.45 0.49 0.57 0.47],[0.13 0.41 0.52 0.59 0.41],[0.35 0.41 0.4  0.54 0.3 ],[0.24 0.41 0.46 0.56 0.36]
115,Here is a roll of measuring tape. It is stainless steel.,measuring_tape_2_4,0,[0 4 1 3 2],measuring_tape_2_4,"['measuring_tape_2_4' 'food_jar_5_2' 'syringe_2_4' 'apple_4_4'
 'potato_4_1']",[0.3  0.56 0.31 0.48 0.59],[0.29 0.55 0.39 0.62 0.45],[0.3  0.55 0.35 0.55 0.52],[0.31 0.5  0.31 0.52 0.39],[0.3  0.53 0.33 0.53 0.46]
116,This is a smartphone. It is black.,cell_phone_3_2,0,[0 1 2 4 3],cell_phone_3_2,['cell_phone_3_2' 'water_bottle_2_3' 'lightbulb_3_3' 'lime_2_3' 'book_3_1'],[0.28 0.46 0.55 0.6  0.56],[0.2  0.53 0.49 0.57 0.57],[0.24 0.5  0.52 0.59 0.57],[0.42 0.26 0.41 0.61 0.47],[0.33 0.38 0.46 0.6  0.52]
117,"This is a black picture frame with a blank, brown canvas.",picture_frame_5_1,0,[0 4 2 1 3],picture_frame_5_1,['picture_frame_5_1' 'eye_glasses_4_1' 'book_4_4' 'book_5_4' 'book_4_4'],[0.17 0.55 0.46 0.41 0.46],[0.24 0.43 0.4  0.35 0.4 ],[0.2  0.49 0.43 0.38 0.43],[0.39 0.3  0.63 0.62 0.63],[0.3  0.4  0.53 0.5  0.53]
118,This is a white paper plate with a blue floral design along the edge.,plate_1_2,0,[0 3 4 2 1],plate_1_2,"['plate_1_2' 'toothbrush_3_3' 'water_bottle_2_4' 'picture_frame_1_2'
 'allen_wrench_1_4']",[0.17 0.57 0.66 0.57 0.53],[0.15 0.57 0.68 0.54 0.52],[0.16 0.57 0.67 0.55 0.53],[0.38 0.48 0.72 0.47 0.46],[0.27 0.52 0.7  0.51 0.49]
119,This is a 25 foot tape measure in a silver metallic case.,measuring_tape_2_4,0,[0 3 1 4 2],measuring_tape_2_4,['measuring_tape_2_4' 'hammer_2_4' 'lemon_5_3' 'apple_2_3' 'lime_3_1'],[0.39 0.55 0.44 0.73 0.53],[0.27 0.63 0.34 0.61 0.56],[0.33 0.59 0.39 0.67 0.55],[0.32 0.57 0.44 0.6  0.56],[0.33 0.58 0.41 0.64 0.55]
120,This is a black smartphone. The phone is not turned on.,cell_phone_3_2,0,[0 4 1 2 3],cell_phone_3_2,['cell_phone_3_2' 'fork_1_2' 'plate_4_2' 'pencil_1_3' 'hammer_6_2'],[0.28 0.56 0.41 0.56 0.53],[0.24 0.62 0.45 0.5  0.59],[0.26 0.59 0.43 0.53 0.56],[0.45 0.46 0.63 0.56 0.4 ],[0.35 0.52 0.53 0.54 0.48]
121,This is a black picture frame. There is no picture in the frame.,picture_frame_5_1,0,[0 2 4 3 1],picture_frame_5_1,"['picture_frame_5_1' 'pencil_2_1' 'spoon_2_3' 'screwdriver_3_3'
 'scissors_3_3']",[0.14 0.47 0.51 0.44 0.39],[0.21 0.5  0.62 0.61 0.46],[0.18 0.49 0.57 0.52 0.42],[0.28 0.41 0.48 0.43 0.54],[0.23 0.45 0.52 0.48 0.48]
122,There is a white paper plate with blue morning glories printed along the edges.,plate_1_2,0,[0 4 3 1 2],plate_1_2,"['plate_1_2' 'allen_wrench_1_4' 'allen_wrench_5_2' 'coffee_mug_5_1'
 'marker_6_3']",[0.12 0.53 0.49 0.56 0.6 ],[0.12 0.54 0.55 0.42 0.41],[0.12 0.53 0.52 0.49 0.5 ],[0.43 0.47 0.41 0.45 0.39],[0.27 0.5  0.47 0.47 0.45]
123,"There is a hand sized, chunky, silver 25 ft. tape measure.",measuring_tape_2_4,0,[0 4 2 3 1],measuring_tape_2_4,['measuring_tape_2_4' 'bowl_4_2' 'syringe_5_1' 'pencil_5_2' 'scissors_5_1'],[0.35 0.55 0.39 0.43 0.32],[0.24 0.57 0.32 0.44 0.35],[0.3  0.56 0.35 0.43 0.34],[0.47 0.48 0.41 0.35 0.56],[0.38 0.52 0.38 0.39 0.45]
124,"There is a black cell phone with a charge port on the bottom, volume buttons on the right side, and an audio plug in at the bottom.",cell_phone_3_2,0,[0 4 3 1 2],cell_phone_3_2,"['cell_phone_3_2' 'spoon_3_3' 'spoon_5_4' 'food_can_3_2'
 'picture_frame_1_2']",[0.45 0.55 0.62 0.41 0.46],[0.4  0.77 0.54 0.46 0.45],[0.43 0.66 0.58 0.44 0.46],[0.37 0.35 0.39 0.44 0.52],[0.4  0.5  0.49 0.44 0.49]
125,"There is a slightly rectangular picture frame with a squared, black, wooden frame and a cardboard background.",picture_frame_5_1,0,[0 1 2 4 3],picture_frame_5_1,"['picture_frame_5_1' 'coffee_mug_1_1' 'toothbrush_1_1' 'food_jar_2_3'
 'water_bottle_2_4']",[0.18 0.47 0.59 0.64 0.52],[0.26 0.55 0.46 0.64 0.57],[0.22 0.51 0.53 0.64 0.55],[0.32 0.53 0.55 0.71 0.69],[0.27 0.52 0.54 0.68 0.62]
126,A paper plate with blue flowers printed on it.,plate_1_2,0,[0 1 4 2 3],plate_1_2,['plate_1_2' 'book_3_1' 'toothbrush_4_2' 'toothpaste_2_4' 'apple_2_3'],[0.13 0.43 0.51 0.51 0.62],[0.12 0.39 0.69 0.59 0.53],[0.12 0.41 0.6  0.55 0.57],[0.27 0.33 0.47 0.33 0.55],[0.2  0.37 0.54 0.44 0.56]
127,A metal tape measure that is 25 foot long.,measuring_tape_2_4,0,[0 1 2 4 3],measuring_tape_2_4,"['measuring_tape_2_4' 'scissors_5_1' 'lightbulb_4_3' 'soda_bottle_5_2'
 'pencil_1_1']",[0.32 0.29 0.33 0.66 0.44],[0.26 0.32 0.45 0.74 0.47],[0.29 0.31 0.39 0.7  0.45],[0.34 0.37 0.43 0.58 0.32],[0.32 0.34 0.41 0.64 0.38]
